date,production_rate_pct,burner_load_pct,o2_pct,temperature_C,online_CO_mg_Nm3,audit_CO_mg_Nm3,online_exceed,audit_exceed,anomaly_period,month
2024-01-01,77.0,75.8,5.06,868.7,149.7,305.3,False,False,False,2024-01
2024-01-02,74.7,75.3,4.71,856.8,172.2,351.2,False,False,False,2024-01
2024-01-03,78.0,78.0,5.12,872.9,170.8,348.4,False,False,False,2024-01
2024-01-04,81.7,82.0,4.49,870.5,144.3,294.3,False,False,False,2024-01
2024-01-05,74.9,72.6,5.31,858.3,142.5,290.6,False,False,False,2024-01
2024-01-06,75.1,75.2,5.14,871.6,155.9,318.0,False,False,False,2024-01
2024-01-07,82.6,84.1,5.08,892.0,137.5,280.5,False,False,False,2024-01
2024-01-08,79.5,83.9,5.29,888.0,153.8,313.7,False,False,False,2024-01
2024-01-09,74.8,77.7,5.5,860.6,159.6,325.5,False,False,False,2024-01
2024-01-10,79.0,85.5,5.3,874.7,165.3,337.3,False,False,False,2024-01
2024-01-11,75.2,72.9,4.45,875.0,148.7,303.4,False,False,False,2024-01
2024-01-12,75.4,78.0,4.62,865.8,147.5,300.8,False,False,False,2024-01
2024-01-13,78.4,79.0,4.81,873.0,139.0,283.6,False,False,False,2024-01
2024-01-14,70.0,76.6,5.01,876.3,139.7,284.9,False,False,False,2024-01
2024-01-15,71.0,68.5,5.16,854.5,147.2,300.2,False,False,False,2024-01
2024-01-16,75.8,73.3,4.78,868.8,154.6,315.4,False,False,False,2024-01
2024-01-17,74.2,72.4,5.06,856.2,161.4,329.3,False,False,False,2024-01
2024-01-18,79.7,73.4,4.77,863.2,140.0,285.5,False,False,False,2024-01
2024-01-19,75.0,73.5,4.82,870.7,168.7,344.1,False,False,False,2024-01
2024-01-20,73.2,70.9,4.58,852.4,146.6,299.1,False,False,False,2024-01
2024-01-21,84.9,85.4,4.72,886.0,149.7,305.5,False,False,False,2024-01
2024-01-22,78.4,79.4,4.59,875.1,140.7,286.9,False,False,False,2024-01
2024-01-23,79.7,85.3,4.71,886.8,119.7,244.2,False,False,False,2024-01
2024-01-24,73.9,76.8,5.32,873.9,161.1,328.5,False,False,False,2024-01
2024-01-25,77.7,75.9,4.72,882.0,159.2,324.8,False,False,False,2024-01
2024-01-26,80.5,77.8,5.79,874.3,146.5,298.8,False,False,False,2024-01
2024-01-27,75.6,77.1,5.15,869.1,150.8,307.7,False,False,False,2024-01
2024-01-28,81.9,77.9,5.06,874.5,156.4,319.2,False,False,False,2024-01
2024-01-29,78.2,83.7,4.74,884.7,130.5,266.2,False,False,False,2024-01
2024-01-30,79.6,83.1,5.21,880.1,143.4,292.5,False,False,False,2024-01
